rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"DtMF
Bad Bunny",1,1.0,4,2054554,DtMF,Bad Bunny
2,"Lush Life
Zara Larsson",2,2.0,15,1982382,Lush Life,Zara Larsson
3,"The Fate of Ophelia
Taylor Swift",1,4.0,21,1806297,The Fate of Ophelia,Taylor Swift
4,"End of Beginning
Djo",1,6.0,21,1742332,End of Beginning,Djo
5,"WHERE IS MY HUSBAND!
RAYE",3,7.0,23,1707075,WHERE IS MY HUSBAND!,RAYE
6,"Raindance (feat. Tems)
Dave, Tems",5,10.0,11,1668168,Raindance (feat. Tems),"Dave, Tems"
7,"LOVE U ANYWAY
benno!",1,12.0,5,1498024,LOVE U ANYWAY,benno!
8,"Tití Me Preguntó
Bad Bunny",3,3.0,3,1442555,Tití Me Preguntó,Bad Bunny
9,"Renn!
AYLIVA",1,11.0,4,1391127,Renn!,AYLIVA
10,"Babydoll
Dominic Fike",10,33.0,4,1326419,Babydoll,Dominic Fike
11,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,19.0,36,1303597,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
12,"NUEVAYoL
Bad Bunny",2,5.0,4,1282227,NUEVAYoL,Bad Bunny
13,"Ordinary
Alex Warren",2,21.0,55,1252393,Ordinary,Alex Warren
